,0
0,What ifs
1,seniority
2,familiarity
3,functionalities
4,Lambdas
5,Relational Databases
6,SQL
7,ORM
8,JPA2
9,Hibernate
10,MyBatis
11,Hibernate
12,code versioning tools
13,Git.. Familiarity
14,Maven
15,Gradle.. Familiarity
16,continuous integration
17,continuous delivery development processes
18,jenkins
19,bamboo
20,Familiarity
21,frameworks
22,transformations
23,analytical reporting
24,conceptual data models
25,standard naming conventions
26,coding practices
27,consistency
28,optimized solutions
29,methodologies
30,high throughput data access services
31,analyze/profile data
32,"conceptual, logical & physical data model designs"
33,physical databases
34,variances
35,discrepancies
36,all phases
37,integrations
38,Demonstrable experience
39,interpersonal skills
40,modern enterprise data architectures
41,data toolsets
42,e.g.: data warehouse
43,data marts
44,modeling tools
45,profiling tools
46,Bachelor or Master degree
47,STEM majors
48,Strong algorithms
49,coding background
50,either Java
51,Python
52,Scala programming experience
53,Exceptional proficiency
54,SQL
55,each following distributed technologies
56,  Relational Stores
57,i.e. Postgres
58,MySQL
59,Oracle
60,(i.e. Big Query
61,Clickhouse
62,Distributed Processing Engines
63,i.e. Apache Spark
64,Celery
65,Distributed Queues
66,i.e. Apache Kafka
67,standard methodologies
68,GCP
69,Azure
70,AWS
71,persuasion
72,experience building cloud environments
73,Excellent Unix/Linux experience and programming experience
74,scripting
75,"python, shell"
76,IPC mechanisms
77,TCP/IP
78,Kafka
79,zmq
80,grpc
81,microservice architecture
82,orchestration
83,docker
84,kubernetes
85,etcd
86,service meshes
87,envoy
88,vault
89,load balancers
90,databases
91,consistency
92,sql/nosql
93,columnar databases
94,distributed consensus
95,CAP Theorem
96,RAFT
97,"map-reduce, reliable multicast"
98,Paxos
99,CI/CD
100,Github
101,Makefiles
102,Microservices
103,AWS
104,GCPNode.js
105,REST APIs servicesExperience writing tools
106,Ruby
107,PerlExperience
108,Bazel
109,toolingScala programming experienceKnowledge
110,binary protocolsExperience
111,Redis
112,experience building cloud environments
113,Excellent Unix/Linux experience and programming experience
114,scripting
115,"python, shell"
116,IPC mechanisms
117,TCP/IP
118,Kafka
119,zmq
120,grpc
121,microservice architecture
122,orchestration
123,docker
124,kubernetes
125,etcd
126,service meshes
127,envoy
128,vault
129,load balancers
130,databases
131,consistency
132,sql/nosql
133,columnar databases
134,distributed consensus
135,CAP Theorem
136,RAFT
137,"map-reduce, reliable multicast"
138,Paxos
139,CI/CD
140,Github
141,Makefiles
142,Microservices
143,AWS
144,GCPNode.js
145,REST APIs servicesExperience writing tools
146,Ruby
147,PerlExperience
148,Bazel
149,toolingScala programming experienceKnowledge
150,binary protocolsExperience
151,Redis
152,JavaScript
153,HTML
154,CSS
155,algorithms
156,standard (W3C) Web UI APIs
157,the following types frameworks/libraries/languages
158,Angular
159,Meteor
160,Ember
161,Knockout
162,Vue
163,Bootstrap
164,ES6
165,TypeScript
166,Dependency injection patterns
167,"AMD, requireJS"
168,commonJS
169,Stylesheet languages
170,SASS
171,Redux
172,Reactive Programming
173,RxJS
174,JavaStrong programming skills
175,lambdas
176,optionals
177,Guice knowledge
178,Protobuf knowledge
179,:Familiarity
180,consuming service oriented architecture layers
181,APIs
182,highly scalable applications
183,JSON
184,Architectural Patterns
185,Proficiency
186,Maven
187,Spring/Guice
188,JPA/Hibernate
189,JavaExperience
190,highly distributed and scalable systems
191,Containers knowledge
192,Multi-threaded concepts
193,latency
194,heap
195,profiling
196,distributed troubleshooting
197,NoSQL
198,MongoDB
199,Cassandra
200,Redis
201,JBoss
202,Tomcat
203,frameworks
204,Jasmine
205,Karma
206,Protractor
207,Junit
208,Responsive design implementation
209,tuning
210,distributed code repositories
211,"(Git, Perforce"
212,Scrum / Kanban
213,Guice
214,GRPC
215,-
216,-
217,/BTech/BS
218,Excellent analytical and problem-solving skills
219,Proven-deep-expertise
220,Python programming
221,Python
222,frameworks
223,Django
224,Flask
225,APIs
226,any RDBMS and strong SQL knowledge
227,Familiarity
228,Redux
229,usability design
230,TensorFlow
231,H20
232,noSQL databases
233,Mesos
234,Kubernetes
235,optimization
236,Building user interface applications
237,analytical devices
238,"analytical, medical, or automotive devices"
239,Proficiency
240,programming user interfaces
241,the Qt Framework
242,QML
243,Qt/C++
244,regulated markets
245,RasPi
246,BeagleBone
247,SQL
248,IP-based network protocols
249,Myntra’s new product platforms
250,mentor
251,Architects
252,deployment
253,scaling
254,availability characteristics
255,the long-term architectural direction
256,platforms/ reusable components
257,a nimble delivery process
258,reliability
259,extensibility
260,deliverables
261,next generation extensible web
262,customisation
263,continuous scaling
264,internationalization
265,extensions
266,the architectural governance
267,directional paths
268,new technology stacks
269,multiple technology domains
270,Myntra
271,external technical forums
272,business stakeholders
273,-
274,"term, long-term roadmaps"
275,excellent abstraction
276,coding
277,a startup/e-commerce ecosystem
278,a high growth & matrix environment
279,an efficient proficient problem-solver
280,workable solutions
281,leading product development end-end (portfolio
282,-
283,architectures
284,multi-million sessions/transactions
285,massively large scale distributed internet systems
286,multi-threading and performance oriented programming
287,highly scalable products
288,reliability
289,queues
290,frameworks
291,object-oriented programming
292,concurrency
293,fundamentals
294,Developing user-facing web applications
295,"reusable, modular code"
296,Bachelor
297,React JS
298,JS/TypeScript
299,Redux
300,Webpack bundling
301,markup languages
302,HTML5
303,CSS3
304,CSS
305,SASS
306,SCSS
307,Mysql
308,Postgres
309,code versioning tool - Git
310,all phases
311,deployment
312,a standardized IT methodology
313,outputs
314,architectural development
315,modifications
316,specifications
317,congruence
318,the compatibility
319,interdependent technologies
320,computing related technology programs
321,Minimum 1 year Java design and development experience
322,technical expertise
323,statistical programming tasks
324,technical expertise
325,the Statistical Programming department
326,more complex assigned tasks
327,appropriate validation requirements
328,SOPs
329,Checks programming logs
330,cleanliness
331,Inputs
332,programming specifications datasets
333,datasets
334,Handles
335,dataset derivations
336,Programs TLFs
337,biostatistical tools
338,questions specification
339,consistency
340,lead programmer
341,the Biostatistical Team Lead
342,supervisor
343,project specific macros
344,SOPs
345,timely progress updates
346,EAC
347,documents timelines
348,BIOSETUP
349,integrated databases
350,project macros
351,SAP
352,shells
353,programming specifications
354,safety outputs
355,Shares accountability
356,rework
357,mentors junior staff
358,(QC) review
359,define xmls
360,ADaM reviewers guide
361,SDRG
362,ADRG
363,lead programmer role
364,proactive approach
365,efficiencies
366,protocols
367,RFPs
368,bid defenses
369,operational topics
370,Master's Degree Computer science
371,Bachelor's Degree Computer science
372,CDISC/ADaM/SDTM
373,"Good organizational, interpersonal, leadership and communication skills"
374,coworkers
375,"a talented, enthusiastic, and detail-oriented Data Engineer"
376,an agile way
377,deployment
378,big data pipelines
379,Coda
380,data pipelines
381,analytical techniques
382,insights
383,ETL
384,big data pipelines
385,Redshift
386,S3
387,EMR
388,EC2
389,DynamoDB
390,Kinesis Firehose
391,Lambda
392,ML teams
393,new behavioural events
394,pipelines
395,datasets
396,our offline analytics capabilities
397,Tableau
398,our real time dash boarding capabilities
399,Bachelor’s degree
400,a similar quantitative field
401,Redshift
402,another columnar store DW
403,data visualization
404,EMR
405,Spark/Scala/PySpark/ Apache Kafka / Kinesis Streams / AWS Glue
406,reporting/analytics platforms
407,the business Preferred Qualifications
408,a data/software developer/scientist
409,predictive analytics/decision models
410,data mining libraries
411,algorithm design
412,problem solving
413,Collaborative Filtering
414,our iOS mobile application
415,high visibility
416,the fundamentals
417,algorithms
418,relevant SWE experience
419,iOS apps
420,"Preferably, apps"
421,the AppStore
422,XCode.. Experience
423,(MVVM
424,Proficiency
425,Multi-threading and performance & memory optimization
426,RESTful APIs
427,Proficient understanding
428,code versioning tools
429,Git
430,individual projects priorities
431,deadlines
432,deliverables
433,your technical expertise
434,bottlenecks
435,our software stack
436,self-starters
437,a limitless drive
438,Bachelor
439,Proficiency
440,Scala
441,Python
442,networking
443,hypervisors
444,databases
445,AWS
446,Azure
447,GCP
448,databases
449,AWS
450,granular file recovery
451,AWS
452,elastic compute
453,technical specifications
454,a concise and effective manner
455,agile activities
456,sprint planning
457,thorough knowledge
458,key architectural decisions
459,design considerations
460,detailed RCA
461,Bachelor
462,master’s degree
463,object-oriented languages
464,developing Microservices
465,RESTful services
466,preferably AWS
467,ORM
468,Entity Framework
469,Nhibernate
470,Strong TDD approach
471,Nunit
472,xUnit
473,frameworks
474,Azure
475,modern java script frameworks
476,Highly efficient data persistent design techniques
477,data retrieval performance
478,(queries
479,designs/queries
480,Proficient experience
481,relational databases
482,other non-relational DBs
483,MongoDB
484,concurrency
485,parallel work streams
486,Debugging/Troubleshooting functional and technical issues
487,proactively codes
488,"Excellent analytical, quantitative, and problem-solving abilities"
489,algorithms
490,minimal oversight
491,multiple concurrent priorities
492,a fast-paced environment
493,Strong interpersonal
494, Utilizes knowledge
495,Xamarin
496, Transforms business requirements
497,technical specifications
498,debug
499,uniformity
500,Architects
501,various prototypes
502, Bachelor’s degree
503,LINQ
504,Rest APIs
505,Xamarin Forms
506,Xamarin Native development
507,"(Xamarin iOS, Xamarin Droid"
508,Xamarin Studio
509,Xamarin
510,both Apple iOS and Android platforms
511,Xamarin Apps
512,UWP
513,XAML
514,e.g. Azure integrations
515,Notifications
516,Continuous Integration
517,CI
518,DevOps
519,Xamarin
520,Xamarin Profiler
521,Various code repositories
522,Git
523,TFS
524,MVVM Architecture
525,VSTS
526,lifecycle
527,roadmaps
528,PCL
529,SQLite
530,cross-platform UX design
531,Xamarin Binding
532,Xamarin
533,Xamarin Forms
534,Swift / XCode
535,a fast-paced & complex environment
536,a self-motivated work ethic
537,urgency
538, Willingness
539,all relevant SOPs
540,servicesIntegrate Highspot
541,external APIs
542,CRM
543,CMS
544,"clean, reusable, supportable, and well-tested RESTful APIs"
545,Highspot’s external API
546,Highspot’s Salesforce integrations
547,functionality
548,-
549,UX
550,Proficiency
551,APIs
552,data formats
553,data transformations
